AS ID,Country,Description
0,ZZ,"-Reserved AS-,ZZ"
1,US,"LVLT-1 - Level 3 Communications, Inc.,US"
2,US,"UDEL-DCN - University of Delaware,US"
3,US,"MIT-GATEWAYS - Massachusetts Institute of Technology,US"
4,US,"ISI-AS - University of Southern California,US"
5,US,"SYMBOLICS - Symbolics, Inc.,US"
6,US,"BULL-HN - Bull HN Information Systems Inc.,US"
7,GB,"UK Defence Research Agency,GB"
8,US,"RICE-AS - Rice University,US"
9,US,"CMU-ROUTER - Carnegie Mellon University,US"
10,US,"CSNET-EXT-AS - CSNET Coordination and Information Center (CSNET-CIC),US"
11,US,"HARVARD - Harvard University,US"
12,US,"NYU-DOMAIN - New York University,US"
13,US,"DNIC-AS-00013 - Headquarters, USAISC,US"
14,US,"COLUMBIA-GW - Columbia University,US"
15,US,"NET-DYNAMICS-EXP - DYNAMICS,US"
16,US,"LBL - Lawrence Berkeley National Laboratory,US"
17,US,"PURDUE - Purdue University,US"
18,US,"UTEXAS - University of Texas at Austin,US"
19,US,"LEIDOS-AS - Leidos, Inc.,US"
20,US,"UR - University of Rochester,US"
21,US,"RAND - The RAND Corporation,US"
22,US,"DNIC-AS-00022 - Navy Network Information Center (NNIC),US"
23,US,"NISN-SIP-AS - National Aeronautics and Space Administration,US"
24,US,"AMES-NAS-GW - National Aeronautics and Space Administration,US"
25,US,"UCB - University of California at Berkeley,US"
26,US,"CORNELL - Cornell University,US"
27,US,"UMDNET - University of Maryland,US"
28,EU,"DFVLR-SYS Deutsches Zentrum fuer Luft- und Raumfahrt,EU"
29,US,"YALE-AS - Yale University,US"
30,US,"SRI-AICNET - SRI International,US"
31,US,"CIT - California Institute of Technology,US"
32,US,"STANFORD - Stanford University,US"
33,US,"HP-DIGITAL-33 - Hewlett-Packard Company,US"
34,US,"UDELNET - University of Delaware,US"
35,US,"MITRE-AS-1 - The MITRE Corporation,US"
36,US,"EGP-TESTOR - SRI International,US"
37,US,"DNIC-AS-00037 - Navy Network Information Center (NNIC),US"
38,US,"UIUC - University of Illinois,US"
39,US,"DNIC-AS-00039 - DoD Network Information Center,US"
40,US,"MIT-TEST - Massachusetts Institute of Technology,US"
41,US,"AMES - National Aeronautics and Space Administration,US"
42,US,"WOODYNET-1 - WoodyNet,US"
43,US,"BNL-AS - Brookhaven National Laboratory,US"
44,US,"S1-DOMAIN - Lawrence Livermore National Laboratory,US"
45,US,"LLL-TIS-AS - Lawrence Livermore National Laboratory,US"
46,US,"RUTGERS - Rutgers University,US"
47,US,"USC-AS - University of Southern California,US"
48,US,"DNIC-AS-00048 - Navy Network Information Center (NNIC),US"
49,US,"ICST-AS - National Bureau of Standards,US"
50,US,"ORNL-MSRNET - Oak Ridge National Laboratory,US"
